,sum_sq,df,F,PR(>F)
C(intersectional_group),1.3599445370149648,13.0,3.8738145401699544,3.3841286053177892e-06
C(model),0.04214577739101487,2.0,0.780342128176687,0.45844533610014326
C(intersectional_group):C(model),0.1675434839664944,26.0,0.23862457866287073,0.9999757862138853
Residual,38.40065356336455,1422.0,,
