,sum_sq,df,F,PR(>F),eta_sq
C(group),5.294730911354908,13.0,2.3344098620954123,0.004287535788573414,0.006253018424619702
C(model),2.603448275862089,2.0,7.460973996688246,0.0005822301786158386,0.0030746435105130166
C(perturbation),52.85764809902762,3.0,100.98646006000229,2.8896458385896255e-63,0.06242429558345678
Residual,785.9921833238352,4505.0,,,0.9282480424814105
