group,is_failure
Southeast Asian_Female,30.79710144927536
Black_Female,29.761904761904763
East Asian_Female,28.055555555555557
White_Female,28.030303030303028
Middle Eastern_Female,27.333333333333332
Indian_Male,26.944444444444443
Latino Hispanic_Female,25.961538461538463
Indian_Female,25.5050505050505
Black_Male,24.479166666666664
Southeast Asian_Male,24.206349206349206
East Asian_Male,22.97979797979798
White_Male,21.13095238095238
Latino Hispanic_Male,20.977011494252874
Middle Eastern_Male,18.010752688172044
