race,eye_occlusion,gamma_correction,gaussian_blur,gaussian_noise
Black,0.9219494688147069,0.8086029672199023,0.9671939235442687,0.9083841245054906
East Asian,0.8836310218648764,0.8553730695265966,0.9540212963396102,0.8910247672099453
Indian,0.8789120427038912,0.8218507984413971,0.9601092000027459,0.8830919838742565
Latino_Hispanic,0.8961946095369384,0.847334054225357,0.9599871715532728,0.9011184883953981
Middle Eastern,0.8617316323950693,0.8180559001557643,0.9653315442160417,0.8624380658616044
Southeast Asian,0.7310224105873158,0.7521232932355841,0.8922166573577864,0.8809554469168586
White,0.8843049031363205,0.8376305963038544,0.8991404701661158,0.8838365471067103
